Month,Franchise,Brand,Region,Cluster,Country,Currency,Sales_Local,Sales_USD,Units,Budget_USD
2024-01-01,Franchise A,Brand A,North America,US/CAN,USA,USD,13879.0,13879.0,335,13736.98
2024-01-01,Franchise A,Brand B,North America,US/CAN,USA,USD,14250.0,14250.0,128,15108.0
2024-01-01,Franchise A,Brand C,North America,US/CAN,USA,USD,15583.0,15583.0,171,15598.0
2024-01-01,Franchise B,Brand D,North America,US/CAN,USA,USD,5292.0,5292.0,376,5470.38
2024-01-01,Franchise B,Brand E,North America,US/CAN,USA,USD,8211.0,8211.0,488,8400.95
2024-01-01,Franchise B,Brand F,North America,US/CAN,USA,USD,10782.0,10782.0,472,11673.2
2024-01-01,Franchise C,Brand G,North America,US/CAN,USA,USD,17946.0,17946.0,241,18534.67
2024-01-01,Franchise A,Brand A,North America,US/CAN,Canada,CAD,21278.56,15646.0,354,15595.87
2024-01-01,Franchise A,Brand B,North America,US/CAN,Canada,CAD,7444.64,5474.0,332,5601.59
2024-01-01,Franchise A,Brand C,North America,US/CAN,Canada,CAD,11492.0,8450.0,376,8433.56
2024-01-01,Franchise B,Brand D,North America,US/CAN,Canada,CAD,25100.16,18456.0,181,17040.84
2024-01-01,Franchise B,Brand E,North America,US/CAN,Canada,CAD,20478.88,15058.0,277,15087.43
2024-01-01,Franchise B,Brand F,North America,US/CAN,Canada,CAD,23053.36,16951.0,105,16444.02
2024-01-01,Franchise C,Brand G,North America,US/CAN,Canada,CAD,13606.8,10005.0,405,9153.68
2024-01-01,Franchise A,Brand A,LATAM,Southern Cone,Brazil,BRL,83277.9,16329.0,493,17653.74
2024-01-01,Franchise A,Brand B,LATAM,Southern Cone,Brazil,BRL,70578.9,13839.0,391,14399.35
2024-01-01,Franchise A,Brand C,LATAM,Southern Cone,Brazil,BRL,61959.9,12149.0,306,11146.61
2024-01-01,Franchise B,Brand D,LATAM,Southern Cone,Brazil,BRL,38357.1,7521.0,449,7091.46
2024-01-01,Franchise B,Brand E,LATAM,Southern Cone,Brazil,BRL,88505.4,17354.0,65,16677.74
2024-01-01,Franchise B,Brand F,LATAM,Southern Cone,Brazil,BRL,80253.6,15736.0,150,15420.52
2024-01-01,Franchise C,Brand G,LATAM,Southern Cone,Brazil,BRL,88699.2,17392.0,238,16376.08
2024-01-01,Franchise A,Brand A,LATAM,Southern Cone,Mexico,MXN,353880.8,19444.0,453,20077.46
2024-01-01,Franchise A,Brand B,LATAM,Southern Cone,Mexico,MXN,97988.8,5384.0,187,5585.74
2024-01-01,Franchise A,Brand C,LATAM,Southern Cone,Mexico,MXN,110510.4,6072.0,405,5556.85
2024-01-01,Franchise B,Brand D,LATAM,Southern Cone,Mexico,MXN,354190.2,19461.0,104,20559.65
2024-01-01,Franchise B,Brand E,LATAM,Southern Cone,Mexico,MXN,327454.4,17992.0,328,18597.81
2024-01-01,Franchise B,Brand F,LATAM,Southern Cone,Mexico,MXN,149494.8,8214.0,237,8014.43
2024-01-01,Franchise C,Brand G,LATAM,Southern Cone,Mexico,MXN,232395.8,12769.0,297,12539.32
2024-01-01,Franchise A,Brand A,APAC,SE Asia,Singapore,SGD,23449.5,17370.0,379,16401.97
2024-01-01,Franchise A,Brand B,APAC,SE Asia,Singapore,SGD,13196.25,9775.0,143,9401.82
2024-01-01,Franchise A,Brand C,APAC,SE Asia,Singapore,SGD,9470.25,7015.0,281,7300.71
2024-01-01,Franchise B,Brand D,APAC,SE Asia,Singapore,SGD,22010.4,16304.0,133,16475.98
2024-01-01,Franchise B,Brand E,APAC,SE Asia,Singapore,SGD,23344.2,17292.0,415,17581.53
2024-01-01,Franchise B,Brand F,APAC,SE Asia,Singapore,SGD,23464.35,17381.0,100,17902.22
2024-01-01,Franchise C,Brand G,APAC,SE Asia,Singapore,SGD,23275.35,17241.0,277,18197.79
2024-01-01,Franchise A,Brand A,APAC,SE Asia,India,INR,1510097.5,18085.0,256,18486.77
2024-01-01,Franchise A,Brand B,APAC,SE Asia,India,INR,509016.0,6096.0,63,5793.17
2024-01-01,Franchise A,Brand C,APAC,SE Asia,India,INR,1157310.0,13860.0,148,13897.45
2024-01-01,Franchise B,Brand D,APAC,SE Asia,India,INR,860467.5,10305.0,175,10404.0
2024-01-01,Franchise B,Brand E,APAC,SE Asia,India,INR,1314206.5,15739.0,392,14583.83
2024-01-01,Franchise B,Brand F,APAC,SE Asia,India,INR,1525545.0,18270.0,51,16971.24
2024-01-01,Franchise C,Brand G,APAC,SE Asia,India,INR,1086418.5,13011.0,243,13894.72
2024-01-01,Franchise A,Brand A,APAC,Oceania,Australia,AUD,28677.84,18867.0,197,18212.5
